ward code,ward name,local authority code,local authority name,Usual residents aged 3+,Main language is English,Language not English: Speak English very well,Language not English: Speak English well,Language not English: Cannot speak English well,Language not English: Cannot speak English
E09000001,City of London (aggregated),E09000001,City of London,8444,6621,1301,384,118,20
E05014053,Abbey,E09000002,Barking and Dagenham,3724,2118,704,609,251,42
E05014054,Alibon,E09000002,Barking and Dagenham,9477,7244,812,951,422,48
E05014055,Barking Riverside,E09000002,Barking and Dagenham,9371,7293,930,807,284,57
E05014056,Beam,E09000002,Barking and Dagenham,8023,6109,711,793,346,64
E05014057,Becontree,E09000002,Barking and Dagenham,9397,7089,865,975,419,49
E05014058,Chadwell Heath,E09000002,Barking and Dagenham,13228,10469,1135,1069,496,59
E05014059,Eastbrook & Rush Green,E09000002,Barking and Dagenham,8461,7132,550,542,206,31
E05014060,Eastbury,E09000002,Barking and Dagenham,15064,11286,1324,1605,765,84
E05014061,Gascoigne,E09000002,Barking and Dagenham,10016,7016,1264,1153,512,71
E05014062,Goresbrook,E09000002,Barking and Dagenham,13128,10344,1037,1144,529,74
E05014063,Heath,E09000002,Barking and Dagenham,8718,7072,667,653,276,50
E05014064,Longbridge,E09000002,Barking and Dagenham,12798,9694,1156,1158,679,111
E05014065,Mayesbrook,E09000002,Barking and Dagenham,14880,11132,1492,1494,662,100
E05014066,Northbury,E09000002,Barking and Dagenham,12504,8049,1531,1847,934,143
E05014067,Parsloes,E09000002,Barking and Dagenham,14572,11422,1170,1313,589,78
E05014068,Thames View,E09000002,Barking and Dagenham,5415,4193,393,529,271,29
E05014069,Valence,E09000002,Barking and Dagenham,14606,11455,1226,1284,542,99
E05014070,Village,E09000002,Barking and Dagenham,12077,9620,911,1009,480,57
E05014071,Whalebone,E09000002,Barking and Dagenham,13430,9926,1447,1367,623,67
E05013628,Barnet Vale,E09000003,Barnet,16515,14086,1123,900,351,55
E05013629,Brunswick Park,E09000003,Barnet,15761,13022,1283,975,410,71
E05013630,Burnt Oak,E09000003,Barnet,20739,14072,2528,2844,1133,162
E05013631,Childs Hill,E09000003,Barnet,18734,13914,2288,1656,767,109
E05013632,Colindale North,E09000003,Barnet,12127,8213,1544,1502,720,148
E05013633,Colindale South,E09000003,Barnet,18200,11514,3046,2464,1041,135
E05013634,Cricklewood,E09000003,Barnet,9996,6911,1207,1217,582,79
E05013635,East Barnet,E09000003,Barnet,17337,14648,1179,1006,437,67
E05013636,East Finchley,E09000003,Barnet,15824,12777,1613,992,388,54
E05013637,Edgware,E09000003,Barnet,19046,14971,1836,1540,596,103
E05013638,Edgwarebury,E09000003,Barnet,11926,9799,923,830,330,44
E05013639,Finchley Church End,E09000003,Barnet,18203,14348,1849,1321,609,76
E05013640,Friern Barnet,E09000003,Barnet,18409,14226,1935,1454,691,103
E05013641,Garden Suburb,E09000003,Barnet,12233,10575,974,462,192,30
E05013642,Golders Green,E09000003,Barnet,14307,11577,1262,981,433,54
E05013643,Hendon,E09000003,Barnet,21048,15403,2447,2197,904,97
E05013644,High Barnet,E09000003,Barnet,11645,10228,792,426,164,35
E05013645,Mill Hill,E09000003,Barnet,17161,14026,1500,1130,446,59
E05013646,Totteridge & Woodside,E09000003,Barnet,14423,11731,1393,867,374,58
E05013647,Underhill,E09000003,Barnet,11925,10087,921,642,229,46
E05013648,West Finchley,E09000003,Barnet,18650,13464,2412,1801,829,144
E05013649,West Hendon,E09000003,Barnet,16590,10451,2479,2536,979,145
E05013650,Whetstone,E09000003,Barnet,10525,8686,873,636,283,47
E05013651,Woodhouse,E09000003,Barnet,13828,10352,1488,1307,590,91
E05011217,Barnehurst,E09000004,Bexley,11276,10474,384,296,105,17
E05011218,Belvedere,E09000004,Bexley,16873,14055,1180,1072,489,77
E05011219,Bexleyheath,E09000004,Bexley,15390,13997,710,467,184,32
E05011220,Blackfen & Lamorbey,E09000004,Bexley,15602,14756,458,263,103,22
E05011221,Blendon & Penhill,E09000004,Bexley,15009,14337,383,173,96,20
E05011222,Crayford,E09000004,Bexley,15361,14074,645,447,171,24
E05011223,Crook Log,E09000004,Bexley,15368,13936,820,391,193,28
E05011224,East Wickham,E09000004,Bexley,15652,13523,1054,694,314,67
E05011225,Erith,E09000004,Bexley,12093,10474,743,597,239,40
E05011226,Falconwood & Welling,E09000004,Bexley,16079,14141,990,634,276,38
E05011227,Longlands,E09000004,Bexley,9698,9175,295,177,45,6
E05011228,Northumberland Heath,E09000004,Bexley,10671,9759,406,344,141,21
E05011229,St Mary's & St James,E09000004,Bexley,10486,9985,276,151,62,12
E05011230,Sidcup,E09000004,Bexley,15216,14181,544,333,137,21
E05011231,Slade Green & Northend,E09000004,Bexley,12331,11093,615,433,169,21
E05011232,Thamesmead East,E09000004,Bexley,15349,13188,916,760,403,82
E05011233,West Heath,E09000004,Bexley,15193,13828,720,415,193,37
E05013496,Alperton,E09000005,Brent,14468,7236,2320,2674,1737,501
E05013497,Barnhill,E09000005,Brent,11053,7486,1398,1438,638,93
E05013498,Brondesbury Park,E09000005,Brent,13176,9844,1606,1114,493,119
E05013499,Cricklewood & Mapesbury,E09000005,Brent,13508,9449,1773,1492,670,124
E05013500,Dollis Hill,E09000005,Brent,20787,13445,2477,2971,1586,308
E05013501,Harlesden & Kensal Green,E09000005,Brent,19391,14078,1929,2137,1069,178
E05013502,Kenton,E09000005,Brent,17143,11171,2606,2211,975,180
E05013503,Kilburn,E09000005,Brent,16663,12555,2011,1422,581,94
E05013504,Kingsbury,E09000005,Brent,10982,7177,1495,1491,719,100
E05013505,Northwick Park,E09000005,Brent,11785,8046,1734,1388,523,94
E05013506,Preston,E09000005,Brent,11924,7132,1851,2002,801,138
E05013507,Queens Park,E09000005,Brent,16434,13339,1581,984,445,85
E05013508,Queensbury,E09000005,Brent,16289,9636,2490,2857,1123,183
E05013509,Roundwood,E09000005,Brent,15996,11174,1708,1919,1029,166
E05013510,Stonebridge,E09000005,Brent,19478,14371,1852,2004,1072,179
E05013511,Sudbury,E09000005,Brent,13269,7699,2186,2241,997,146
E05013512,Tokyngton,E09000005,Brent,9667,6327,1189,1325,692,134
E05013513,Welsh Harp,E09000005,Brent,17529,11085,2199,2803,1251,191
E05013514,Wembley Central,E09000005,Brent,17358,8988,2787,3129,1860,594
E05013515,Wembley Hill,E09000005,Brent,15024,9497,2077,2185,1106,159
E05013516,Wembley Park,E09000005,Brent,7339,5040,1412,689,164,34
E05013517,Willesden Green,E09000005,Brent,18516,12595,2379,2205,1080,257
E05013987,Beckenham Town & Copers Cope,E09000006,Bromley,15438,13747,1059,475,135,22
E05013988,Bickley & Sundridge,E09000006,Bromley,17220,16109,692,283,121,15
E05013989,Biggin Hill,E09000006,Bromley,10614,10410,132,48,21,3
E05013990,Bromley Common & Holwood,E09000006,Bromley,18253,16996,745,354,131,27
E05013991,Bromley Town,E09000006,Bromley,15209,12922,1360,681,208,38
E05013992,Chelsfield,E09000006,Bromley,11182,10331,623,164,54,10
E05013993,Chislehurst,E09000006,Bromley,15026,14185,535,222,72,12
E05013994,Clock House,E09000006,Bromley,16402,15026,764,420,166,26
E05013995,Crystal Palace & Anerley,E09000006,Bromley,11480,9849,853,508,229,41
E05013996,Darwin,E09000006,Bromley,5387,5269,69,33,14,2
E05013997,Farnborough & Crofton,E09000006,Bromley,17341,16271,742,256,59,13
E05013998,Hayes & Coney Hall,E09000006,Bromley,15425,14833,368,168,43,13
E05013999,Kelsey & Eden Park,E09000006,Bromley,15041,14142,525,244,115,15
E05014000,Mottingham,E09000006,Bromley,11034,9836,645,376,162,15
E05014001,Orpington,E09000006,Bromley,11855,10733,669,340,96,17
E05014002,Penge & Cator,E09000006,Bromley,18331,16205,1039,747,291,49
E05014003,Petts Wood & Knoll,E09000006,Bromley,16297,15208,706,282,87,14
E05014004,Plaistow,E09000006,Bromley,12337,11056,670,427,163,21
E05014005,Shortlands & Park Langley,E09000006,Bromley,16111,14645,909,415,129,13
E05014006,St Mary Cray,E09000006,Bromley,17944,16511,794,446,162,31
E05014007,St Paul's Cray,E09000006,Bromley,16253,14820,727,505,174,27
E05014008,West Wickham,E09000006,Bromley,14408,13790,331,184,88,15
E05013652,Belsize,E09000007,Camden,11673,9182,1859,479,140,13
E05013653,Bloomsbury,E09000007,Camden,11220,8182,1981,737,286,34
E05013654,Camden Square,E09000007,Camden,6912,5549,800,351,182,30
E05013655,Camden Town,E09000007,Camden,6640,5219,791,407,190,33
E05013656,Fortune Green,E09000007,Camden,11206,8873,1398,648,257,30
E05013657,Frognal,E09000007,Camden,7443,5941,986,362,136,18
E05013658,Gospel Oak,E09000007,Camden,11397,9320,1182,579,274,42
E05013659,Hampstead Town,E09000007,Camden,7835,6648,906,211,62,8
E05013660,Haverstock,E09000007,Camden,11604,9437,1138,602,355,72
E05013661,Highgate,E09000007,Camden,9963,8933,639,271,102,18
E05013662,Holborn & Covent Garden,E09000007,Camden,10125,7914,1240,609,290,72
E05013663,Kentish Town North,E09000007,Camden,7103,6090,633,255,107,18
E05013664,Kentish Town South,E09000007,Camden,10034,8179,1028,489,290,48
E05013665,Kilburn,E09000007,Camden,11607,8473,1516,1050,493,75
E05013666,King's Cross,E09000007,Camden,11171,7903,1804,988,399,77
E05013667,Primrose Hill,E09000007,Camden,12001,9619,1441,644,248,49
E05013668,Regent's Park,E09000007,Camden,11611,8736,1499,917,396,63
E05013669,St Pancras & Somers Town,E09000007,Camden,12099,9217,1298,1029,454,101
E05013670,South Hampstead,E09000007,Camden,11599,8705,1890,713,257,34
E05013671,West Hampstead,E09000007,Camden,10815,8530,1423,555,264,43
E05011462,Addiscombe East,E09000008,Croydon,11345,9682,718,623,267,55
E05011463,Addiscombe West,E09000008,Croydon,14925,11776,1508,1078,495,68
E05011464,Bensham Manor,E09000008,Croydon,16327,12171,1534,1677,822,123
E05011465,Broad Green,E09000008,Croydon,19216,13673,2197,2277,949,120
E05011466,Coulsdon Town,E09000008,Croydon,14542,13438,679,287,114,24
E05011467,Crystal Palace & Upper Norwood,E09000008,Croydon,15605,13560,973,706,306,60
E05011468,Fairfield,E09000008,Croydon,14942,11075,2018,1254,504,91
E05011469,Kenley,E09000008,Croydon,10071,9404,391,191,75,10
E05011470,New Addington North,E09000008,Croydon,10769,9688,485,389,185,22
E05011471,New Addington South,E09000008,Croydon,10835,9934,456,306,121,18
E05011472,Norbury & Pollards Hill,E09000008,Croydon,12007,8969,1232,1175,526,105
E05011473,Norbury Park,E09000008,Croydon,10260,8251,840,754,354,61
E05011474,Old Coulsdon,E09000008,Croydon,9410,8971,253,134,39,13
E05011475,Park Hill & Whitgift,E09000008,Croydon,5564,4282,789,342,132,19
E05011476,Purley & Woodcote,E09000008,Croydon,15984,14254,985,519,183,43
E05011477,Purley Oaks & Riddlesdown,E09000008,Croydon,10109,9002,614,336,133,24
E05011478,Sanderstead,E09000008,Croydon,15061,14142,551,253,91,24
E05011479,Selhurst,E09000008,Croydon,12315,9661,1016,1042,526,70
E05011480,Selsdon & Addington Village,E09000008,Croydon,10040,9187,465,273,102,13
E05011481,Selsdon Vale & Forestdale,E09000008,Croydon,9348,8702,386,189,61,10
E05011482,Shirley North,E09000008,Croydon,14866,13419,693,518,204,32
E05011483,Shirley South,E09000008,Croydon,10511,9533,477,349,139,13
E05011484,South Croydon,E09000008,Croydon,16399,13807,1296,935,310,51
E05011485,South Norwood,E09000008,Croydon,15824,13110,1168,1001,477,68
E05011486,Thornton Heath,E09000008,Croydon,17292,14048,1241,1231,650,122
E05011487,Waddon,E09000008,Croydon,17683,14394,1604,1176,446,63
E05011488,West Thornton,E09000008,Croydon,17908,12848,2014,1976,925,145
E05011489,Woodside,E09000008,Croydon,16386,14363,921,708,340,54
E05013518,Central Greenford,E09000009,Ealing,13526,8745,1810,1939,910,122
E05013519,Dormers Wells,E09000009,Ealing,14684,8838,2094,2272,1271,209
E05013520,Ealing Broadway,E09000009,Ealing,13753,9941,1909,1232,564,107
E05013521,Ealing Common,E09000009,Ealing,15333,11682,1899,1188,486,78
E05013522,East Acton,E09000009,Ealing,15475,10725,2174,1776,698,102
E05013523,Greenford Broadway,E09000009,Ealing,16392,11169,2044,2096,900,183
E05013524,Hanger Hill,E09000009,Ealing,16233,11092,2378,1765,831,167
E05013525,Hanwell Broadway,E09000009,Ealing,14568,11241,1483,1192,575,77
E05013526,Lady Margaret,E09000009,Ealing,15621,9013,2446,2571,1309,282
E05013527,North Acton,E09000009,Ealing,17849,12154,2479,2082,976,158
E05013528,North Greenford,E09000009,Ealing,15620,10125,2163,2305,900,127
E05013529,North Hanwell,E09000009,Ealing,14567,10963,1416,1476,617,95
E05013530,Northfield,E09000009,Ealing,13951,11523,1337,788,273,30
E05013531,Northolt Mandeville,E09000009,Ealing,16722,11230,2207,2263,880,142
E05013532,Northolt West End,E09000009,Ealing,15802,10915,1976,1982,763,166
E05013533,Norwood Green,E09000009,Ealing,14872,9724,1990,1775,1105,278
E05013534,Perivale,E09000009,Ealing,15697,9971,2287,2273,994,172
E05013535,Pitshanger,E09000009,Ealing,14697,11609,1483,1030,506,69
E05013536,South Acton,E09000009,Ealing,16357,11866,2110,1555,701,125
E05013537,Southall Broadway,E09000009,Ealing,10607,6163,1460,1781,1009,194
E05013538,Southall Green,E09000009,Ealing,15798,8652,2334,2758,1670,384
E05013539,Southall West,E09000009,Ealing,6570,3481,1034,1204,726,125
E05013540,Southfield,E09000009,Ealing,15600,12841,1745,705,285,24
E05013541,Walpole,E09000009,Ealing,14135,11194,1450,936,491,64
E05013672,Arnos Grove,E09000010,Enfield,8564,6775,821,606,318,44
E05013673,Bowes,E09000010,Enfield,10386,6532,1395,1515,833,111
E05013674,Brimsdown,E09000010,Enfield,15661,11751,1197,1520,1009,184
E05013675,Bullsmoor,E09000010,Enfield,11001,8638,645,894,677,147
E05013676,Bush Hill Park,E09000010,Enfield,12560,10729,731,669,363,68
E05013677,Carterhatch,E09000010,Enfield,12296,9376,819,1139,832,130
E05013678,Cockfosters,E09000010,Enfield,9823,8202,680,620,272,49
E05013679,Edmonton Green,E09000010,Enfield,16351,10941,1519,2030,1566,295
E05013680,Enfield Lock,E09000010,Enfield,17104,13096,1313,1429,1080,186
E05013681,Grange Park,E09000010,Enfield,8363,7220,501,405,195,42
E05013682,Haselbury,E09000010,Enfield,17565,11911,1625,2238,1532,259
E05013683,Highfield,E09000010,Enfield,9248,6989,774,957,457,71
E05013684,Jubilee,E09000010,Enfield,15735,11046,1398,1774,1307,210
E05013685,Lower Edmonton,E09000010,Enfield,15975,11021,1443,1934,1334,243
E05013686,New Southgate,E09000010,Enfield,10721,7595,1263,1212,578,73
E05013687,Oakwood,E09000010,Enfield,8439,7145,559,488,214,33
E05013688,Palmers Green,E09000010,Enfield,10383,7508,1105,1037,624,109
E05013689,Ponders End,E09000010,Enfield,12909,9221,1062,1450,1001,175
E05013690,Ridgeway,E09000010,Enfield,12365,10968,617,510,238,32
E05013691,Southbury,E09000010,Enfield,14662,11994,972,1038,567,91
E05013692,Southgate,E09000010,Enfield,14720,11374,1366,1235,634,111
E05013693,Town,E09000010,Enfield,12832,11257,629,598,293,55
E05013694,Upper Edmonton,E09000010,Enfield,16148,10815,1588,2033,1456,256
E05013695,Whitewebbs,E09000010,Enfield,13828,12193,669,556,356,54
E05013696,Winchmore Hill,E09000010,Enfield,10064,8565,614,582,266,37
E05014072,Abbey Wood,E09000011,Greenwich,16703,13624,1230,1244,520,85
E05014073,Blackheath Westcombe,E09000011,Greenwich,14472,12910,1018,345,167,32
E05014074,Charlton Hornfair,E09000011,Greenwich,12064,10062,921,709,310,62
E05014075,Charlton Village & Riverside,E09000011,Greenwich,9920,8122,853,571,309,65
E05014076,East Greenwich,E09000011,Greenwich,13813,11536,1490,548,215,24
E05014077,Eltham Page,E09000011,Greenwich,9637,8164,673,526,240,34
E05014078,Eltham Park & Progress,E09000011,Greenwich,10034,9136,467,268,130,33
E05014079,Eltham Town & Avery Hill,E09000011,Greenwich,14991,13229,898,575,237,52
E05014080,Greenwich Creekside,E09000011,Greenwich,10786,8554,1386,605,205,36
E05014081,Greenwich Park,E09000011,Greenwich,9930,8433,953,337,171,36
E05014082,Greenwich Peninsula,E09000011,Greenwich,10946,8166,1846,680,216,38
E05014083,Kidbrooke Park,E09000011,Greenwich,9763,8178,767,524,255,39
E05014084,Kidbrooke Village & Sutcliffe,E09000011,Greenwich,5667,4536,686,325,99,21
E05014085,Middle Park & Horn Park,E09000011,Greenwich,9345,8141,515,445,206,38
E05014086,"Mottingham, Coldharbour & New Eltham",E09000011,Greenwich,13997,12459,779,503,208,48
E05014087,Plumstead & Glyndon,E09000011,Greenwich,20844,14228,2272,2732,1242,370
E05014088,Plumstead Common,E09000011,Greenwich,15024,12408,1143,950,439,84
E05014089,Shooters Hill,E09000011,Greenwich,11416,9516,807,646,373,74
E05014090,Thamesmead Moorings,E09000011,Greenwich,11879,10052,830,649,303,45
E05014091,West Thamesmead,E09000011,Greenwich,11316,9121,1012,755,377,51
E05014092,Woolwich Arsenal,E09000011,Greenwich,11754,8772,1666,834,409,73
E05014093,Woolwich Common,E09000011,Greenwich,12453,9412,1183,1164,572,122
E05014094,Woolwich Dockyard,E09000011,Greenwich,10891,8312,1037,936,510,96
E05009367,Brownswood,E09000012,Hackney,8649,6923,871,517,284,54
E05009368,Cazenove,E09000012,Hackney,14262,10784,1236,1148,917,177
E05009369,Clissold,E09000012,Hackney,12117,10275,908,504,363,67
E05009370,Dalston,E09000012,Hackney,8755,7165,949,375,225,41
E05009371,De Beauvoir,E09000012,Hackney,8708,7172,866,411,220,39
E05009372,Hackney Central,E09000012,Hackney,12551,10213,1177,620,460,81
E05009373,Hackney Downs,E09000012,Hackney,12615,10172,1036,712,586,109
E05009374,Hackney Wick,E09000012,Hackney,12004,10215,774,564,380,71
E05009375,Haggerston,E09000012,Hackney,14027,11037,1557,769,552,112
E05009376,Homerton,E09000012,Hackney,12701,10131,1097,805,563,105
E05009377,Hoxton East & Shoreditch,E09000012,Hackney,11763,8989,1614,683,408,69
E05009378,Hoxton West,E09000012,Hackney,13390,9956,2041,878,465,50
E05009379,King's Park,E09000012,Hackney,12762,10557,941,673,481,110
E05009380,Lea Bridge,E09000012,Hackney,13849,11272,1230,779,475,93
E05009381,London Fields,E09000012,Hackney,11963,9926,986,526,439,86
E05009382,Shacklewell,E09000012,Hackney,8493,6770,750,550,349,74
E05009383,Springfield,E09000012,Hackney,14319,10990,1039,1274,851,165
E05009384,Stamford Hill West,E09000012,Hackney,9562,7463,638,836,526,99
E05009385,Stoke Newington,E09000012,Hackney,13132,11012,1003,600,441,76
E05009386,Victoria,E09000012,Hackney,11869,10005,1003,449,343,69
E05009387,Woodberry Down,E09000012,Hackney,11738,8673,1291,1017,626,131
E05013733,Addison,E09000013,Hammersmith and Fulham,7589,5656,1162,548,199,24
E05013734,Avonmore,E09000013,Hammersmith and Fulham,7364,5442,1230,509,155,28
E05013735,Brook Green,E09000013,Hammersmith and Fulham,7844,5968,1272,430,152,22
E05013736,College Park & Old Oak,E09000013,Hammersmith and Fulham,9704,7131,1222,965,330,56
E05013737,Coningham,E09000013,Hammersmith and Fulham,10476,8193,1256,773,229,25
E05013738,Fulham Reach,E09000013,Hammersmith and Fulham,11284,8995,1470,614,181,24
E05013739,Fulham Town,E09000013,Hammersmith and Fulham,7244,6038,854,266,71,15
E05013740,Grove,E09000013,Hammersmith and Fulham,7221,5810,900,358,132,21
E05013741,Hammersmith Broadway,E09000013,Hammersmith and Fulham,7436,5642,1003,556,211,24
E05013742,Lillie,E09000013,Hammersmith and Fulham,6481,4979,915,439,130,18
E05013743,Munster,E09000013,Hammersmith and Fulham,11945,9829,1430,497,172,17
E05013744,Palace & Hurlingham,E09000013,Hammersmith and Fulham,11144,9251,1283,426,157,27
E05013745,Parsons Green & Sandford,E09000013,Hammersmith and Fulham,7631,6389,895,241,83,23
E05013746,Ravenscourt,E09000013,Hammersmith and Fulham,6768,5353,812,417,155,31
E05013747,Sands End,E09000013,Hammersmith and Fulham,10532,8489,1298,539,184,22
E05013748,Shepherd's Bush Green,E09000013,Hammersmith and Fulham,5448,4035,737,493,154,29
E05013749,Walham Green,E09000013,Hammersmith and Fulham,7525,6089,896,396,126,18
E05013750,Wendell Park,E09000013,Hammersmith and Fulham,7174,5866,788,351,150,19
E05013751,West Kensington,E09000013,Hammersmith and Fulham,9270,7076,1243,685,235,31
E05013752,White City,E09000013,Hammersmith and Fulham,9964,7471,1191,913,339,50
E05013753,Wormholt,E09000013,Hammersmith and Fulham,7573,5956,852,548,195,22
E05013585,Alexandra Park,E09000014,Haringey,8765,7838,528,272,106,21
E05013586,Bounds Green,E09000014,Haringey,9433,6636,1163,973,571,90
E05013587,Bruce Castle,E09000014,Haringey,13535,9124,1249,1597,1286,279
E05013588,Crouch End,E09000014,Haringey,12543,10854,1059,409,177,44
E05013589,Fortis Green,E09000014,Haringey,12497,10835,998,444,186,34
E05013590,Harringay,E09000014,Haringey,13940,9349,1867,1527,981,216
E05013591,Hermitage & Gardens,E09000014,Haringey,8678,5936,1061,980,586,115
E05013592,Highgate,E09000014,Haringey,12134,10489,1127,341,157,20
E05013593,Hornsey,E09000014,Haringey,14247,12044,1120,637,375,71
E05013594,Muswell Hill,E09000014,Haringey,8579,7419,731,280,120,29
E05013595,Noel Park,E09000014,Haringey,13288,8725,1548,1789,1076,150
E05013596,Northumberland Park,E09000014,Haringey,14222,9267,1373,1880,1422,280
E05013597,St Ann's,E09000014,Haringey,9888,6613,1041,1176,883,175
E05013598,Seven Sisters,E09000014,Haringey,9013,6028,915,1179,748,143
E05013599,South Tottenham,E09000014,Haringey,16251,11249,1501,1873,1341,287
E05013600,Stroud Green,E09000014,Haringey,10566,9102,777,392,243,52
E05013601,Tottenham Central,E09000014,Haringey,13891,9094,1550,1931,1106,210
E05013602,Tottenham Hale,E09000014,Haringey,11516,7490,1413,1577,884,152
E05013603,West Green,E09000014,Haringey,14215,9449,1638,1804,1118,206
E05013604,White Hart Lane,E09000014,Haringey,13061,8869,1264,1552,1163,213
E05013605,Woodside,E09000014,Haringey,14863,9255,1963,2218,1235,192
E05013542,Belmont,E09000015,Harrow,8865,6550,1033,881,347,54
E05013543,Canons,E09000015,Harrow,8858,6806,917,781,309,45
E05013544,Centenary,E09000015,Harrow,14007,8884,2259,1955,778,131
E05013545,Edgware,E09000015,Harrow,15379,8797,2308,2798,1267,209
E05013546,Greenhill,E09000015,Harrow,10849,6748,2056,1389,558,98
E05013547,Harrow on the Hill,E09000015,Harrow,10434,7742,1237,983,381,91
E05013548,Harrow Weald,E09000015,Harrow,14109,10492,1494,1360,645,118
E05013549,Hatch End,E09000015,Harrow,9239,7364,1035,601,201,38
E05013550,Headstone,E09000015,Harrow,14511,10634,1980,1332,494,71
E05013551,Kenton East,E09000015,Harrow,14034,8012,2239,2443,1117,223
E05013552,Kenton West,E09000015,Harrow,9280,6008,1563,1158,470,81
E05013553,Marlborough,E09000015,Harrow,10853,7005,1691,1458,586,113
E05013554,North Harrow,E09000015,Harrow,8940,6342,1297,913,349,39
E05013555,Pinner,E09000015,Harrow,12838,10644,1194,694,268,38
E05013556,Pinner South,E09000015,Harrow,14717,12063,1488,799,324,43
E05013557,Rayners Lane,E09000015,Harrow,9340,6015,1556,1282,434,53
E05013558,Roxbourne,E09000015,Harrow,9471,6385,1351,1193,472,70
E05013559,Roxeth,E09000015,Harrow,15206,9531,2335,2278,904,158
E05013560,Stanmore,E09000015,Harrow,13261,10321,1321,1093,448,78
E05013561,Wealdstone North,E09000015,Harrow,9891,6529,1336,1344,568,114
E05013562,Wealdstone South,E09000015,Harrow,7697,4576,1161,1263,591,106
E05013563,West Harrow,E09000015,Harrow,10147,7006,1414,1182,476,69
E05013967,Beam Park,E09000016,Havering,4997,4322,286,279,97,13
E05013968,Cranham,E09000016,Havering,12589,12092,269,158,61,9
E05013969,Elm Park,E09000016,Havering,15845,14208,775,570,250,42
E05013970,Emerson Park,E09000016,Havering,8959,8240,419,201,85,14
E05013971,Gooshays,E09000016,Havering,16661,14763,894,692,264,48
E05013972,Hacton,E09000016,Havering,8808,8300,266,165,64,13
E05013973,Harold Wood,E09000016,Havering,13390,12194,623,387,157,29
E05013974,Havering-atte-Bower,E09000016,Havering,15667,14276,575,565,221,30
E05013975,Heaton,E09000016,Havering,16872,14642,947,900,316,67
E05013976,Hylands & Harrow Lodge,E09000016,Havering,13726,12774,430,354,136,32
E05013977,Marshalls & Rise Park,E09000016,Havering,12707,11636,520,399,136,16
E05013978,Mawneys,E09000016,Havering,13975,12637,583,521,200,34
E05013979,Rainham & Wennington,E09000016,Havering,13065,11603,617,567,231,47
E05013980,Rush Green & Crowlands,E09000016,Havering,15013,12151,1340,1044,388,90
E05013981,St Alban's,E09000016,Havering,7819,6321,584,618,257,39
E05013982,St Andrew's,E09000016,Havering,13792,12980,390,271,126,25
E05013983,St Edward's,E09000016,Havering,10175,8679,691,555,215,35
E05013984,South Hornchurch,E09000016,Havering,10167,9040,519,427,161,20
E05013985,Squirrels Heath,E09000016,Havering,15052,13857,602,408,163,22
E05013986,Upminster,E09000016,Havering,13041,12617,226,134,56,8
E05013564,Belmore,E09000017,Hillingdon,16769,10078,2629,2673,1175,214
E05013565,Charville,E09000017,Hillingdon,11043,7976,1368,1168,441,90
E05013566,Colham & Cowley,E09000017,Hillingdon,18564,14707,1910,1309,537,101
E05013567,Eastcote,E09000017,Hillingdon,16182,14283,1069,589,211,30
E05013568,Harefield Village,E09000017,Hillingdon,5584,5180,237,132,31,4
E05013569,Hayes Town,E09000017,Hillingdon,14600,9707,2038,1821,856,178
E05013570,Heathrow Villages,E09000017,Hillingdon,13466,9622,1595,1558,601,90
E05013571,Hillingdon East,E09000017,Hillingdon,15092,12448,1285,940,351,68
E05013572,Hillingdon West,E09000017,Hillingdon,9484,7558,1071,616,204,35
E05013573,Ickenham & South Harefield,E09000017,Hillingdon,14998,13498,866,443,163,28
E05013574,Northwood,E09000017,Hillingdon,10976,9299,904,548,190,35
E05013575,Northwood Hills,E09000017,Hillingdon,11464,9405,1070,722,226,41
