Borough,Pupils who's first Language is English,Pupils who's first language is other than English,Pupils with Free School Meals,,,
City of London,0,0,0.00,,,
Barking and Dagenham,46.2,47.9,39.6,,,
Barnet,57.1,56.4,47,,,
Bexley,49.2,56.3,40.1,,,
Brent,52.1,49.3,42.2,,,
Bromley,50.3,59.4,37.4,,,
Camden,46.4,50.5,41.6,,,
Croydon,43.7,45.6,39.1,,,
Ealing,51.8,50.2,42.2,,,
Enfield,47.6,43,39.7,,,
Greenwich,46.2,50.3,39.8,,,
Hackney,49.3,50.1,42.3,,,
Hammersmith and Fulham,54,57.1,43.3,,,
Haringey,50.6,45.4,42.1,,,
Harrow,52.9,50.9,38.3,,,
Havering,47.1,51.6,37.6,,,
Hillingdon,46.6,53.2,38.4,,,
Hounslow,50.6,52.9,43.1,,,
Islington,47.7,52.1,45.8,,,
Kensington and Chelsea,52.7,55.1,48.2,,,
Kingston upon Thames,57.9,57.8,42.9,,,
Lambeth,42.8,46.5,43.1,,,
Lewisham,44.5,44.2,36.9,,,
Merton,50.1,54.5,41.1,,,
Newham,48.2,52.9,47,,,
Redbridge,53.2,54.6,44.4,,,
Richmond upon Thames,56.2,58.3,42.2,,,
Southwark,51.2,53.8,45.2,,,
Sutton,56.3,67.4,42.8,,,
Tower Hamlets,46.3,49.4,45.9,,,
Waltham Forest,44,45,43,,,
Wandsworth,50.8,52.9,41.6,,,
Westminster,52.7,54.1,47.3,,,