Code,Borough,2020 income,2021 income,2021 % change
00AA,City of London,#,#,0
00AB,Barking and Dagenham,562.7,616.1,7.3
00AC,Barnet,590.6,639.7,6.1
00AD,Bexley,711.2,697.3,8.1
00AE,Brent,622.9,622.5,6.3
00AF,Bromley,797.0,808.4,6.5
00AG,Camden,716.3,811.2,7.5
00AH,Croydon,666.0,671.7,5.8
00AJ,Ealing,590.2,609.6,5.5
00AK,Enfield,530.1,574.9,8.4
00AL,Greenwich,654.8,721.9,6.7
00AM,Hackney,612.5,632.3,8.4
00AN,Hammersmith and Fulham,804.9,866.3,10.0
00AP,Haringey,638.0,663.7,9.7
00AQ,Harrow,637.5,692.1,8.0
00AR,Havering,689.9,706.2,6.1
00AS,Hillingdon,640.1,689.9,8.4
00AT,Hounslow,574.9,627.7,7.0
00AU,Islington,797.5,669.8,11.0
00AX,Kingston upon Thames,769.2,852.1,11.0
00AY,Lambeth,729.1,744.6,5.6
00AZ,Lewisham,590.0,643.0,8.1
00BA,Merton,631.6,628.0,8.5
00BB,Newham,574.1,624.9,6.1
00BC,Redbridge,726.1,707.3,8.2
00BD,Richmond upon Thames,889.4,845.9,11.0
00BE,Southwark,717.4,704.7,8.9
00BF,Sutton,574.9,633.9,8.0
00BG,Tower Hamlets,761.3,763.9,8.9
00BH,Waltham Forest,680.1,690.0,6.1
00BJ,Wandsworth,766.6,821.7,9.4
00BK,Westminster,722.7,770.2,9.0